"curs","any","codi_centre","denominaci_completa","codi_naturalesa","nom_naturalesa","codi_titularitat","nom_titularitat","adre_a","codi_postal","tel_fon","codi_delegaci","nom_delegaci","codi_comarca","nom_comarca","codi_municipi","codi_municipi_6","nom_municipi","codi_districte_municipal","nom_dm","codi_localitat","nom_localitat","coordenades_utm_x","coordenades_utm_y","coordenades_geo_x","coordenades_geo_y","e_mail_centre","url","imatge","einf1c","einf2c","epri","eso","batx","aa01","cfpm","ppas","aa03","cfps","ee","ife","pfi","pa01","cfam","pa02","cfas","esdi","escm","escs","adr","crbc","idi","dane","danp","dans","muse","musp","muss","tegm","tegs","estr","adults","geo_1"
"2020/2021","2020","43005893","Escola Centcelles","1","Públic","01","Departament d'Educació","c. Joan Maragall, s/n","43120","977520504","0143","Tarragona","36","Tarragonès","43047","430477","Constantí","00",,"01","Constantí","377259.900","4564395.435","1.535677309","41.221640617","e3005893@xtec.cat","http://escolacentcelles.wixsite.com/escola",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1535677309 41221640617)"
"2020/2021","2020","43007646","Institut de Constantí","1","Públic","01","Departament d'Educació","c. Onze de Setembre, s/n","43120","977524011","0143","Tarragona","36","Tarragonès","43047","430477","Constantí","00",,"01","Constantí","353333.699","4552914.205","1.253096716","41.114283442","e3007646@xtec.cat","http://agora.xtec.cat/iesconstanti",,,,,"ESO","BATX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1253096716 41114283442)"
"2020/2021","2020","43010451","Llar d'infants Gu-gu","1","Públic","04","Corporacions Locals","pl. de les Escoles Velles, s/n","43120","977523214","0143","Tarragona","36","Tarragonès","43047","430477","Constantí","00",,"01","Constantí","363895.715","4560470.257","1.377170807","41.184159659","e3010451@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1377170807 41184159659)"
"2020/2021","2020","43005364","Escola Les Eres","1","Públic","01","Departament d'Educació","c. Onze de Setembre, s/n","43838","977800597","0143","Tarragona","36","Tarragonès","43050","430509","Creixell","00",,"01","Creixell","301298.392","4551077.409","0.634350804","41.086691635","e3005364@xtec.cat","https://agora.xtec.cat/esc-leseresdecreixell/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (634350804 41086691635)"
"2020/2021","2020","43009667","Llar d'infants Municipal de Creixell","1","Públic","04","Corporacions Locals","c. Coma, 30","43838","977801265","0143","Tarragona","36","Tarragonès","43050","430509","Creixell","00",,"01","Creixell","352062.370","4552841.852","1.237978497","41.113401434","e3009667@xtec.cat","http://www.xtec.cat/centres/e3009667",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1237978497 41113401434)"
"2020/2021","2020","43011649","Llar d'infants Nova Guarderia","1","Públic","04","Corporacions Locals","c. Onze de Setembre, 4","43838",,"0143","Tarragona","36","Tarragonès","43050","430509","Creixell","00",,"01","Creixell","289870.296","4522343.154","0.508162660","40.825218084","e3011649@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (508162660 40825218084)"
"2020/2021","2020","43012241","Escola Bressol L'Estel de Mar","1","Públic","04","Corporacions Locals","c. Vendrell, 7","43838",,"0143","Tarragona","36","Tarragonès","43050","430509","Creixell","00",,"01","Creixell","336052.916","4560877.721","1.045249389","41.182673102","e3012241@xtec.cat","www.esteldemar.com",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1045249389 41182673102)"
"2020/2021","2020","43001735","Escola Ventura Gassol","1","Públic","01","Departament d'Educació","camí de Reus, 13","43760","977840209","0143","Tarragona","36","Tarragonès","43095","430957","El Morell","00",,"01","El Morell","347607.883","4553645.978","1.184748594","41.119817913","e3001735@xtec.cat","http://escolaventuragassol.blogspot.com.es/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1184748594 41119817913)"
"2020/2021","2020","43008407","Institut El Morell","1","Públic","01","Departament d'Educació","c. César Martinell, 1","43760","977842057","0143","Tarragona","36","Tarragonès","43095","430957","El Morell","00",,"01","El Morell","289870.296","4522343.154","0.508162660","40.825218084","e3008407@xtec.cat","http://agora.xtec.cat/institutelmorell",,,,,"ESO","BATX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (508162660 40825218084)"
"2020/2021","2020","43009931","Llar d'infants del Morell","1","Públic","04","Corporacions Locals","pl. de l'Estatut, s/n","43760","977841510","0143","Tarragona","36","Tarragonès","43095","430957","El Morell","00",,"01","El Morell","344369.781","4552209.748","1.146560197","41.106272953","e3009931@xtec.cat","http://www.xtec.cat/centres/e3009931",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1146560197 41106272953)"
"2020/2021","2020","43012231","Esc. de Música Municipal El Morell","1","Públic","04","Corporacions Locals","rbla. Maragall, 40","43760",,"0143","Tarragona","36","Tarragonès","43095","430957","El Morell","00",,"01","El Morell","340706.244","4572341.763","1.097710780","41.286810886","e3012231@xtec.cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MUSE",,,,,,,"POINT (1097710780 41286810886)"
"2020/2021","2020","43005467","Escola Les Codinetes","1","Públic","01","Departament d'Educació","Raval dels Hostalets, s/n","43763","977655390","0143","Tarragona","36","Tarragonès","43097","430976","La Nou de Gaià","00",,"01","La Nou de Gaià","350665.044","4553145.978","1.221269246","41.115884000","e3005467@xtec.cat","http://agora.xtec.cat/ceiplescodinetes",,"EINF1C","EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1221269246 41115884000)"
"2020/2021","2020","43011042","Llar d'infants La Palmera","1","Públic","04","Corporacions Locals","c. Sants Cosme i Damià, 4","43763","977655258","0143","Tarragona","36","Tarragonès","43097","430976","La Nou de Gaià","00",,"01","La Nou de Gaià","307215.844","4527575.350","0.712072506","40.876573024","e3011042@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (712072506 40876573024)"
"2020/2021","2020","43001826","Escola Sant Sebastià","1","Públic","01","Departament d'Educació","av. Catalunya, 12","43151","977610539","0143","Tarragona","36","Tarragonès","43100","431009","Els Pallaresos","00",,"05","Els Pallaresos","352189.782","4552673.388","1.239535897","41.111907813","e3001826@xtec.cat","http://agora.xtec.cat/escolasantsebastia",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1239535897 41111907813)"
"2020/2021","2020","43009564","LLI privada Can Petits","2","Privat","27","Societats Civils","c. Tarragona, 6","43151","977610658","0143","Tarragona","36","Tarragonès","43100","431009","Els Pallaresos","00",,"05","Els Pallaresos","378709.827","4563787.952","1.553090604","41.216388861","e3009564@xtec.cat","http://www.xtec.cat/centres/e3009564",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1553090604 41216388861)"
"2020/2021","2020","43010591","Escola Arquitecte Jujol","1","Públic","01","Departament d'Educació","av. Catalunya, 6","43151","977627124","0143","Tarragona","36","Tarragonès","43100","431009","Els Pallaresos","00",,"05","Els Pallaresos","353752.628","4589832.655","1.249220662","41.446758167","e3010591@xtec.cat","www.escolaarquitectejujol.cat",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1249220662 41446758167)"
"2020/2021","2020","43010748","Institut Els Pallaresos","1","Públic","01","Departament d'Educació","av. Catalunya, 12","43151","977627203","0143","Tarragona","36","Tarragonès","43100","431009","Els Pallaresos","00",,"05","Els Pallaresos","342004.080","4555984.197","1.117429681","41.139798397","e3010748@xtec.cat","https://agora.xtec.cat/ieselspallaresos",,,,,"ESO","BATX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1117429681 41139798397)"
"2020/2021","2020","43012563","Escola Bressol Els Pallaresos","1","Públic","04","Corporacions Locals","c. Gregal, 2-4","43151",,"0143","Tarragona","36","Tarragonès","43100","431009","Els Pallaresos","00",,"05","Els Pallaresos","301494.000","4546229.000","0.638266000","41.043207000","e3012563@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (638266000 41043207000)"
"2020/2021","2020","43007476","Llar d'infants Perafort","1","Públic","04","Corporacions Locals","av. de Catalunya, s/n","43152","977610123","0143","Tarragona","36","Tarragonès","43103","431037","Perafort","00",,"01","Perafort","314539.257","4527828.278","0.798847625","40.880540734","e3007476@xtec.cat","http://www.xtec.cat/centres/e3007476",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (798847625 40880540734)"
"2020/2021","2020","43009886","Escola Josep Veciana","1","Públic","01","Departament d'Educació","av. Catalunya, s/n","43152","977610404","0143","Tarragona","36","Tarragonès","43103","431037","Perafort","00",,"01","Perafort","346313.396","4582303.429","1.162118121","41.377583400","e3009886@xtec.cat","http://agora.xtec.cat/esc-josepveciana/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1162118121 41377583400)"
"2020/2021","2020","43005480","Escola Mare de Déu del Lledó","1","Públic","01","Departament d'Educació","av. Guillem de Montoliu, s/n","43140","977840851","0143","Tarragona","36","Tarragonès","43109","431093","La Pobla de Mafumet","00",,"01","La Pobla de Mafumet","353575.720","4553288.115","1.255888949","41.117693752","e3005480@xtec.cat","https://agora.xtec.cat/escolamarededeudellledo/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1255888949 41117693752)"
"2020/2021","2020","43008936","Llar d'infants L'Esquirol","1","Públic","04","Corporacions Locals","c. Marià Fortuny, s/n","43140","977842241","0143","Tarragona","36","Tarragonès","43109","431093","La Pobla de Mafumet","00",,"01","La Pobla de Mafumet","340163.776","4558616.823","1.094827152","41.163139599","e3008936@xtec.cat","http://www.xtec.cat/centres/e3008936",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1094827152 41163139599)"
"2020/2021","2020","43012186","Llar d'infants Nou Esquirol","1","Públic","04","Corporacions Locals","c. Mina de Madró, cantonada Molí Tendre","43140",,"0143","Tarragona","36","Tarragonès","43109","431093","La Pobla de Mafumet","00",,"01","La Pobla de Mafumet","331701.726","4555984.071","0.994743702","41.137726229","e3012186@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (994743702 41137726229)"
"2020/2021","2020","43012885","CENAFE La Pobla de Mafumet","2","Privat","41","Persones Físiques","av. Generalitat, 20","43140",,"0143","Tarragona","36","Tarragonès","43109","431093","La Pobla de Mafumet","00",,"01","La Pobla de Mafumet","349777.466","4561034.916","1.208769378","41.186749131","e3012885@xtec.cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TEGM","TEGS",,,"POINT (1208769378 41186749131)"
"2020/2021","2020","43005145","Escola Els Ametllers","1","Públic","01","Departament d'Educació","pg. de l'Estació, 2","43761","977648259","0143","Tarragona","36","Tarragonès","43111","431114","La Pobla de Montornès","00",,"01","La Pobla de Montornès","340345.917","4556632.297","1.097513846","41.145308752","e3005145@xtec.cat","http://agora.xtec.cat/ceipelsametllers",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1097513846 41145308752)"
"2020/2021","2020","43010271","Llar d'infants Sol Solet","1","Públic","04","Corporacions Locals","av. de Catalunya, 1-3","43761","977648700","0143","Tarragona","36","Tarragonès","43111","431114","La Pobla de Montornès","00",,"01","La Pobla de Montornès","295729.678","4509013.924","0.581941462","40.706727115","e3010271@xtec.cat","http://www.xtec.cat/centres/e3010271",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (581941462 40706727115)"
"2020/2021","2020","43005157","Escola Montoliu","1","Públic","01","Departament d'Educació","c. Alzinar, s/n","43762","977655539","0143","Tarragona","36","Tarragonès","43126","431264","La Riera de Gaià","00",,"02","La Riera de Gaià","341729.782","4556860.682","1.113936874","41.147636049","e3005157@xtec.cat","www.montoliuescola.cat",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1113936874 41147636049)"
"2020/2021","2020","43010049","Llar d'infants Les Monges","1","Públic","04","Corporacions Locals","c. Doctor Pittaluga, 2","43762","977655715","0143","Tarragona","36","Tarragonès","43126","431264","La Riera de Gaià","00",,"02","La Riera de Gaià","303259.003","4516086.859","0.668775919","40.772223966","e3010049@xtec.cat","http://www.xtec.cat/centres/e3010049",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (668775919 40772223966)"
"2020/2021","2020","43002776","Escola Salvador Espriu","1","Públic","01","Departament d'Educació","c. de la Font, 3","43883","977809924","0143","Tarragona","36","Tarragonès","43131","431310","Roda de Berà","00",,"01","Roda de Berà","293849.571","4515563.779","0.557548432","40.765210621","e3002776@xtec.cat","https://agora.xtec.cat/ceip-salvador-espriu-roda/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (557548432 40765210621)"
"2020/2021","2020","43009928","Llar d'infants Els Petitons","1","Públic","04","Corporacions Locals","c. de la Reina Sofía, 17","43883","977657009","0143","Tarragona","36","Tarragonès","43131","431310","Roda de Berà","00",,"01","Roda de Berà","336611.411","4555644.545","1.053299707","41.135672795","e3009928@xtec.cat","http://www.xtec.cat/centres/e3009928",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1053299707 41135672795)"
"2020/2021","2020","43011194","Escola El Cucurull","1","Públic","01","Departament d'Educació","c. Joan Carles I, 17","43883","977657190","0143","Tarragona","36","Tarragonès","43131","431310","Roda de Berà","00",,"01","Roda de Berà","325685.126","4541515.671","0.927197384","41.006208797","e3011194@xtec.cat","https://agora.xtec.cat/ceipelcucurull/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (927197384 41006208797)"
"2020/2021","2020","43011418","Institut Roda de Berà","1","Públic","01","Departament d'Educació","c. de la Font, 3","43883","977657505","0143","Tarragona","36","Tarragonès","43131","431310","Roda de Berà","00",,"01","Roda de Berà","352076.682","4553673.027","1.237948700","41.120887765","e3011418@xtec.cat","http://insrdb.cat",,,,,"ESO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1237948700 41120887765)"
"2020/2021","2020","43005662","Escola Josep Nin","1","Públic","01","Departament d'Educació","c. Raval de cal Toni, 9","43885","977629085","0143","Tarragona","36","Tarragonès","43135","431359","Salomó","00",,"01","Salomó","284773.035","4548425.459","0.438715363","41.058620767","e3005662@xtec.cat","http://blocs.xtec.cat/escolajosepnin/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (438715363 41058620767)"
"2020/2021","2020","43012678","Llar d'infants El Til·ler","1","Públic","04","Corporacions Locals","av. Catalunya, 2","43885",,"0143","Tarragona","36","Tarragonès","43135","431359","Salomó","00",,"01","Salomó","363788.736","4565458.847","1.374784384","41.229060371","e3012678@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1374784384 41229060371)"
"2020/2021","2020","43003082","Escola Guillem de Claramunt","1","Públic","01","Departament d'Educació","c. Ctra. de Vallmoll, s/n","43765","977611421","0143","Tarragona","36","Tarragonès","43144","431444","La Secuita","00",,"04","La Secuita","290179.242","4521161.510","0.512220638","40.814662325","e3003082@xtec.cat","http://blocs.xtec.cat/lasecuita",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (512220638 40814662325)"
"2020/2021","2020","43012770","Escola Bressol Municipal els Guillemets","1","Públic","04","Corporacions Locals","ctra. de Vallmoll, s/n","43765",,"0143","Tarragona","36","Tarragonès","43144","431444","La Secuita","00",,"04","La Secuita","355663.729","4562698.575","1.278532851","41.202798539","e3012770@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1278532851 41202798539)"
"2020/2021","2020","43003136","Escola Bonavista","1","Públic","01","Departament d'Educació","c. 21, s/n","43100","977546289","0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"01","Bonavista","291121.066","4520898.061","0.523465812","40.812531431","e3003136@xtec.cat","http://blocs.xtec.cat/ceipbonavista/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (523465812 40812531431)"
"2020/2021","2020","43003151","Joan XXIII","2","Privat","23","Església Catòlica","c. Catorze, s/n","43100","977542807","0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"01","Bonavista","290345.445","4520931.871","0.514266676","40.812638023","e3003151@xtec.cat","http://www.escolajoan23.com",,"EINF1C","EINF2C","EPRI","ESO","BATX","AA01","CFPM",,"AA03","CFPS",,,"PFI",,,,,,,,,,,,,,,,,,,,,"POINT (514266676 40812638023)"
"2020/2021","2020","43003227","Escola Sant Salvador","1","Públic","01","Departament d'Educació","av. de Sant Salvador, 13","43130","977520970","0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"11","Sant Salvador","283444.830","4497404.418","0.440651433","40.599107726","e3003227@xtec.cat","http://agora.xtec.cat/ceipsantsalvador-tarragona/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (440651433 40599107726)"
"2020/2021","2020","43003306","Escola Serrallo","1","Públic","01","Departament d'Educació","c. Xavier Montsalvatge, 8","43004","977228876","0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"13","Tarragona","322572.946","4576555.664","0.880068612","41.320961732","e3003306@xtec.cat","http://www.xtec.cat/ceipserrallo",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (880068612 41320961732)"
"2020/2021","2020","43003321","Escola Sant Pere i Sant Pau","1","Públic","01","Departament d'Educació","Urb. Sant Pere i Sant Pau, s/n","43007","977201227","0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"13","Tarragona","353261.915","4567155.627","1.248829121","41.242496701","e3003321@xtec.cat","http://agora.xtec.cat/ceip-santperesantpau/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1248829121 41242496701)"
"2020/2021","2020","43003410","Joan Roig","2","Privat","26","Societats Mercantils","c. Cristòfor Colom, 9","43001","977240223","0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"13","Tarragona","349542.589","4573882.386","1.202802594","41.302376745","e3003410@xtec.cat","http://agora.xtec.cat/escolajoanroig/",,"EINF1C","EINF2C","EPRI","ESO",,,"CFPM",,,"CFPS",,,,,,,,,,,,,,,,,,,,,,,,"POINT (1202802594 41302376745)"
"2020/2021","2020","43003461","Tic-Tac","2","Privat","24","Ordes i Congregacions Catòlics","av. Lluís Companys, 12","43005","977214288","0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"13","Tarragona","353612.408","4572235.596","1.251790180","41.288298365","e3003461@xtec.cat","http://www.tictac.lasalle.cat/",,"EINF1C","EINF2C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1251790180 41288298365)"
"2020/2021","2020","43003483","Lestonnac-l'Ensenyança","2","Privat","24","Ordes i Congregacions Catòlics","c. de l'Arc de Sant Llorenç, 2","43003","977232519","0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"13","Tarragona","353191.448","4572271.881","1.246756443","41.288548614","e3003483@xtec.cat","http://lestonnactarragona.org",,"EINF1C","EINF2C","EPRI","ESO","BATX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1246756443 41288548614)"
"2020/2021","2020","43003495","Mare de Déu del Carme","2","Privat","24","Ordes i Congregacions Catòlics","av. Estanislau Figueres, 31","43002","977220105","0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"13","Tarragona","353321.032","4571867.802","1.248400625","41.284934014","e3003495@xtec.cat","http://www.carmelites.cat",,"EINF1C","EINF2C","EPRI","ESO","BATX","AA01","CFPM",,"AA03",,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1248400625 41284934014)"
"2020/2021","2020","43003501","El Carme","2","Privat","24","Ordes i Congregacions Catòlics","c. del Mar, 17","43004","977212752","0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"13","Tarragona","353761.520","4572355.209","1.253541410","41.289402332","e3003501@xtec.cat","http://www.elcarmetarragona.cat",,,"EINF2C","EPRI","ESO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1253541410 41289402332)"
"2020/2021","2020","43003525","Dominiques Tarragona","2","Privat","26","Societats Mercantils","c. Rovira i Virgili, 16","43002","977216151","0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"13","Tarragona","353601.372","4572328.916","1.251636011","41.289136576","e3003525@xtec.cat","http://www.dominiques.cat",,"EINF1C","EINF2C","EPRI","ESO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1251636011 41289136576)"
"2020/2021","2020","43003537","La Salle","2","Privat","24","Ordes i Congregacions Catòlics","av. Països Catalans, s/n","43007","977218600","0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"13","Tarragona","354137.004","4572548.128","1.257977431","41.291207234","e3003537@xtec.cat","https://tarragona.lasalle.cat/",,,"EINF2C","EPRI","ESO","BATX",,,,,"CFPS",,,,,,,,,,,,,,,,,,,,,,,,"POINT (1257977431 41291207234)"
